,sample,length,file_trim
1,,0,
2,NA,14,Sample.e_150608_JL.fasta_primerfix.fasta_trim.fasta
3,NA,5,Sample.e_160608_AR.fasta_primerfix.fasta_trim.fasta
4,NA,1,Sample.e_160714_L.fasta_primerfix.fasta_trim.fasta
5,NA,12,Sample.e_MAN_L.fasta_primerfix.fasta_trim.fasta
6,NA,3,Sample.e_MAR_AL.fasta_primerfix.fasta_trim.fasta
7,NA,0,Sample.eDNA_CampanaR_z.fasta_primerfix.fasta_trim.fasta
8,NA,3,Sample.eDNA_MANL.fasta_primerfix.fasta_trim.fasta
9,NA,0,Sample.eDNA_SofiaR_NoP.fasta_primerfix.fasta_trim.fasta
10,NA,6,Sample.eDNA_SofiaR_P.fasta_primerfix.fasta_trim.fasta
11,NA,5,Sample.eDNA_SOFR_1z.fasta_primerfix.fasta_trim.fasta